id,language,title,artist,genre,cluster_pca,cluster_vae
en_english_songs_639,en,Crazy What Love Can Do,David Guetta,,1,1
bn_bangla_songs_4728,bn,দূর পৃথিবী,,আধুনিক বাংলা গান,0,0
bn_bangla_songs_6454,bn,সখী    আমারি দুয়ারে কেন আসিল,,রবীন্দ্রসঙ্গীত,0,0
bn_bangla_songs_2980,bn,আর অনুনয় করিবে না কেউ কথা কহিবার তরে,,নজরুলগীতি,0,0
en_english_songs_310,en,In Your Head,Eminem,,1,1
bn_bangla_songs_3866,bn,এখানে এলে দুচোখের জল বাঁধা মানেনা আমার (অনামিকা),,আধুনিক বাংলা গান,0,0
bn_bangla_songs_2349,bn,সে যারে বোঝায় সেই বোঝে,,ফোক গান,0,0
bn_bangla_songs_498,bn,ঢেউয়ের তালে নদীর জলে ছোটেছ উজানে,,ফোক গান,0,0
bn_bangla_songs_3813,bn,কেন রে মন-মাঝি ভব-নদীতে মাছ ধরিতে আইলি,,ফোক গান,0,0
bn_bangla_songs_725,bn,পিরিতি কি সকলে জানে,,ফোক গান,0,0
en_english_songs_236,en,Queen of Kings,Alessandra,,1,1
en_english_songs_709,en,Baby Shark,Pinkfong,,1,1
bn_bangla_songs_4716,bn,তুমি দয়া কর দয়াময়,,ফোক গান,0,0
en_english_songs_266,en,My Name Is,Eminem,,1,1
bn_bangla_songs_7551,bn,"হে মোর চিত্ত, পুণ্য তীর্থে জাগো",,রবীন্দ্রসঙ্গীত,0,0
en_english_songs_501,en,Trance (with Travis Scott & Young Thug),Metro Boomin,,1,1
en_english_songs_442,en,Cupid,FIFTY FIFTY,,1,1
bn_bangla_songs_3031,bn,স্নিগ্ধ-শ্যাম-বেণি-বর্ণা এসো মালবিকা,,নজরুলগীতি,0,0
en_english_songs_797,en,Take Me To Church,Hozier,,1,1
bn_bangla_songs_2611,bn,আয় মোহাম্মদ কামলে ওয়ালা,,ফোক গান,0,0
en_english_songs_660,en,Blinding Lights,The Weeknd,,1,1
en_english_songs_568,en,Maria Maria (feat. The Product G&B),Santana,,1,1
en_english_songs_337,en,TRUSTFALL,P!nk,,1,1
bn_bangla_songs_5446,bn,তুমি    ডাক দিয়েছ কোন্‌ সকালে কেউ তা জানে না,,রবীন্দ্রসঙ্গীত,0,0
bn_bangla_songs_1444,bn,দয়াল তিননাথ আও আমার আসরে চলিয়া আও,,ফোক গান,0,0
en_english_songs_755,en,Runnin' (Lose It All),Naughty Boy,,1,1
bn_bangla_songs_3238,bn,ওই পথে চেয়ে থাকি,,নজরুলগীতি,0,0
en_english_songs_492,en,ICU,Coco Jones,,1,1
bn_bangla_songs_3554,bn,মা গো তোরই পায়ের নূপুর বাজে,,নজরুলগীতি,0,0
bn_bangla_songs_2962,bn,আমি আছি বলে দুখ পাও তুমি,,নজরুলগীতি,0,0
bn_bangla_songs_6814,bn,বিস্তীর্ণ দুপারের অসংখ্য মানুষের হাহাকার শুনেও,,আধুনিক বাংলা গান,0,0
bn_bangla_songs_3822,bn,কুলের বউ হয়ে মনা আর কতদিন,,ফোক গান,0,0
bn_bangla_songs_3277,bn,নিশুতি রাতের শশী গো,,নজরুলগীতি,0,0
en_english_songs_52,en,The Weight - Remastered,The Band,,1,1
bn_bangla_songs_6593,bn,বাঁশি আমি বাজাই নি কি পথের ধারে ধারে,,রবীন্দ্রসঙ্গীত,0,0
en_english_songs_377,en,I'll Be Lovin' You,Miranda Lambert,,1,1
en_english_songs_154,en,Hit Me Off,New Edition,,1,1
bn_bangla_songs_1210,bn,নিশির স্বপনে শ্যামের রূপ লাগিয়াছে নয়নে,,ফোক গান,0,0
bn_bangla_songs_6919,bn,মীরাবাঈ,,আধুনিক বাংলা গান,0,0
bn_bangla_songs_4608,bn,সেইতো আবার কাছে এলে,,আধুনিক বাংলা গান,0,0
en_english_songs_790,en,Are You With Me - Radio Edit,Lost Frequencies,,1,1
en_english_songs_270,en,Not Afraid,Eminem,,1,1
en_english_songs_571,en,Forget Me,Lewis Capaldi,,1,1
bn_bangla_songs_7124,bn,নুপূর (একপায়ে নুপূর তোমার অন্য পা খালি),,আধুনিক বাংলা গান,0,0
bn_bangla_songs_7449,bn,সবকটা জানালা খুলে দাওনা,,দেশাত্মবোধক গান,0,0
bn_bangla_songs_7448,bn,আমি বাংলায় গান গাই,,দেশাত্মবোধক গান,0,0
en_english_songs_677,en,Ghost,Justin Bieber,,1,1
en_english_songs_770,en,Chandelier,Sia,,1,1
en_english_songs_651,en,Overseas,D-Block Europe,,1,1
en_english_songs_356,en,El Merengue,Marshmello,,1,1
en_english_songs_94,en,All Eyez On Me (ft. Big Syke),2Pac,,1,1
bn_bangla_songs_2037,bn,বুঝি কোন কর্মফলে এলে রে মন ভূমণ্ডলে,,ফোক গান,0,0
bn_bangla_songs_5108,bn,ওই      আসনতলের মাটির ‘পরে লুটিয়ে রব,,রবীন্দ্রসঙ্গীত,0,0
bn_bangla_songs_2901,bn,ও কূল-ভাঙা নদী রে,,নজরুলগীতি,0,0
bn_bangla_songs_6605,bn,আমার শেষ রাগিণীর প্রথম ধুয়ো ধরলি রে কে তুই,,রবীন্দ্রসঙ্গীত,0,0
bn_bangla_songs_4784,bn,বাহির হলেম আমি আপন ভিতর হতে,,রবীন্দ্রসঙ্গীত,0,0
bn_bangla_songs_1283,bn,যাও গো দূতী পুষ্পবনে পুষ্প তুলো গিয়া,,ফোক গান,0,0
en_english_songs_120,en,Lady,D'Angelo,,1,1
en_english_songs_706,en,Clash (feat. Stormzy),Dave,,1,1
bn_bangla_songs_157,bn,মানব তরী লইয়া রে কে যাবি আয় মুর্শিদ প্রেম বাজারে,,ফোক গান,0,0
en_english_songs_247,en,Samo mi se spava,Luke Black,,1,1
bn_bangla_songs_5102,bn,তোমার কথা হেথা কেহ তো বলে না,,রবীন্দ্রসঙ্গীত,0,0
en_english_songs_40,en,For What It's Worth,Buffalo Springfield,,1,1
en_english_songs_485,en,Nonsense,Sabrina Carpenter,,1,1
bn_bangla_songs_7098,bn,বৃষ্টি নেমেছে রিমঝিমরিম সুরের লহরী,,আধুনিক বাংলা গান,0,0
bn_bangla_songs_7220,bn,বজ্র কঠিন শপথ আবার লহ সবাই,,দেশাত্মবোধক গান,0,0
bn_bangla_songs_2296,bn,জীব ম’লে জীব যায় কোন সংসারে,,ফোক গান,0,0
en_english_songs_484,en,Go Hard,Lil Baby,,1,1
bn_bangla_songs_5062,bn,কিছুটা জেনে কিছুটা না জেনে (ট্রেন),,আধুনিক বাংলা গান,0,0
bn_bangla_songs_1307,bn,প্ৰেম জ্বালা সহে না পরানে গো সখী,,ফোক গান,0,0
en_english_songs_1,en,A Whiter Shade Of Pale,Procol Harum,,1,1
bn_bangla_songs_6498,bn,মুখপানে চেয়ে দেখি ভয় হয় মনে,,রবীন্দ্রসঙ্গীত,0,0
